geography,legislation,topic,subtopic,new_topic,new_subtopic,flexible_fund,program,summary_description,program_description, allocation ,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Safety,Victim Supports,Community Safety,Victim Supports,Yes,Child advocacy centers,Support for child advocacy centers managed by the Department of Children and Family Services,Support for child advocacy centers managed by the Department of Children and Family Services,"$3,000,000.00 ",1,NA,Illinois Department of Children and Family Services,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,CARES,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,No,Child Care and Development Block Grant,Child assistance for low-income families,"These funds supplement general revenue funds for child care assistance for low-income families. The supplemental funding must be used for activities authorized under the CCDBG Act that prevent, prepare for, and respond to the Covid-19 pandemic.","$118,420,119.00 ",1,NA,U.S. Department of Health and Human Services,"<a href = ""https://www.acf.hhs.gov/occ/data/2020-cares-act-ccdbg-supplemental-funding-allocations-states-and-territories"">U.S. Department of Health and Human Services 2020 CARES Act CCDBG Supplemental Allocations</a>",https://www.acf.hhs.gov/occ/data/2020-cares-act-ccdbg-supplemental-funding-allocations-states-and-territories,4/15/2020,9/30/2023,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Commercial corridors and responsive neighborhood activation investments,Grants and business support services to revitalize commercial corridors,Grants and business support services to revitalize commercial corridors and support new small business owners and local artists involved in beautification projects; also includes community programs to drive local participation in the planning process and workforce participation in community-driven development projects,"$48,600,000.00 ",1,NA,Chicago Department of Business Affairs and Consumer Protection,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,Chicago General Obligation Bond,Community Investment,Community Development,Community Investment,Community Development,Yes,Commercial corridors and responsive neighborhood activation investments,Grants and business support services to revitalize commercial corridors,Grants and business support services to revitalize commercial corridors and support new small business owners and local artists involved in beautification projects; also includes community programs to drive local participation in the planning process and workforce participation in community-driven development projects,"$16,000,000.00 ",1,NA,Chicago Department of Planning and Development; Chicago Department of Business Affairs and Consumer Protection,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Workforce Development,Employment Opportunities,Workforce Development,Employment Opportunities,Yes,Community Conservation Corps,Community conservation projects in local forest preserves,The Forest Preserves along with corps partners will recruit and hire up to 282 adult corps members per year from Cook County who are currently unemployed or under-employed to conduct meaningful conservation work in their local Forest Preserve. Corps members will be deployed in teams of 6 to 10 participants and supervised by experienced Field Leaders who have the technical skills to train and supervise conservation work while providing soft job skills for those new to the work force. A minimum of 75% of participants will gain at least three advanced industry skill certifications.,"$2,187,333.33 ",0,NA,Forest Preserves of Cook County within the Office of the President,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,CARES,Community Investment,Community Development,Community Investment,Community Development,Yes,Community Development Block Grant,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.","$66,860,727.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20"">U.S. Department of Housing and Urban Development CARES Act Supplemental Funding</a>",https://www.hud.gov/program_offices/comm_planning/budget/fy20,9/25/2020,12/31/2021,1
Cook County,CARES,Community Investment,Community Development,Community Investment,Community Development,Yes,Community Development Block Grant,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.","$16,018,096.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20"">U.S. Department of Housing and Urban Development CARES Act Supplemental Funding</a>",https://www.hud.gov/program_offices/comm_planning/budget/fy20,9/25/2020,12/31/2021,1
Illinois,CARES,Community Investment,Community Development,Community Investment,Community Development,Yes,Community Development Block Grant,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.","$70,753,404.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20"">U.S. Department of Housing and Urban Development CARES Act Supplemental Funding</a>",https://www.hud.gov/program_offices/comm_planning/budget/fy20,9/25/2020,12/31/2021,1
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Community Information Exchange,Development of a Community Information Exchange (CIE) to enhance in-development 211 system,"Cook County Legal Aid for Housing and Debt (CCLAHD) helps residents resolve eviction, foreclosure, consumer debt, and tax deed issues pre-court and during the court process. CCLAHD provides free legal aid, mediation services, case management, and connections for tenants and landlords dealing with evictions, property owners who are behind on their mortgage payments or property taxes, and creditors and debtors with issues related to consumer debt.","$3,587,500.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Community wealth building pilot,Economic development program promoting local ownership of community assets,"Creates a new economic development program to promote local, democratic, and shared ownership and control of community assets; pilot investments in shared-equity models (e.g. worker cooperatives, housing cooperatives, community land trusts), giving historiclaly disinvested communities more accessible and sustainable pathways to building wealth","$15,000,000.00 ",1,NA,Chicago Department of Planning and Development,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Cook County Legal Aid for Housing and Debt,"Legal aid and case management services for residents facing eviction, foreclosure, consumer debt, and tax deed issues","This program helps residents resolve eviction, foreclosure, consumer debt, and tax deed issues pre-court and during the court process. Services include free legal aid, mediation services, case management, and connections for tenants and landlords dealing with evictions, property owners who are behind on their mortgage payments on property taxes, and creditors and debtors with issues related to consumer debt.","$3,587,500.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Utility Assistance,Household Investment,Utility Assistance,Yes,Cook County Residential Water Conservation and Energy Efficiency Program,Utility bill cost reduction program,"The program will increase housing affordability for residents by reducing utility costs. Specifically, the project identifies residents for home energy and water assessments and implement energy efficiency improvements and water conservation measures (such as window replacement, roof repairs, insulation, air sealing, HVAC improvements, LED lighting, energyefficient windows and doors, installing low-flow water appliances and repairing leaks).","$3,587,500.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Utility Assistance,Household Investment,Utility Assistance,Yes,Cook County Water Affordability Program,Water utility bill payment assistance,"The Cook County Water Affordability Program will provide water utility bill payment assistance to help households suffering from income loss and mounting bills during the pandemic. The program will reduce uncollectable debt for municipal water utilities. The anticipated focus of the program is on communities with a high-water burden, meaning that the household spends a significantly larger portion of their income on the water and sewer bill.","$3,587,500.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,CARES,State/Local Discretionary Funding,State/Local Discretionary Funding,All,All,No,Coronavirus Relief Fund,"Broad Covid-19 relief funds for state, local, and Tribal governments","This fund includes payments to State, Local, and Tribal governments navigating the impact of the Covid-19 pandemic","$470,078,038.00 ",1,0.87,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund"">U.S. Department of the Treasury</a>",https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund,5/11/2020,12/31/2021,1
Cook County,CARES,State/Local Discretionary Funding,State/Local Discretionary Funding,All,All,No,Coronavirus Relief Fund,"Broad Covid-19 relief funds for state, local, and Tribal governments","This fund includes payments to State, Local, and Tribal governments navigating the impact of the Covid-19 pandemic","$428,597,905.00 ",1,NA,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund"">U.S. Department of the Treasury</a>",https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund,5/11/2020,12/31/2021,1
Illinois,CARES,State/Local Discretionary Funding,State/Local Discretionary Funding,All,All,No,Coronavirus Relief Fund,"Broad Covid-19 relief funds for state, local, and Tribal governments","This fund includes payments to State, Local, and Tribal governments navigating the impact of the Covid-19 pandemic","$3,518,945,365.70 ",1,NA,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund"">U.S. Department of the Treasury</a>",https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund,5/11/2020,12/31/2021,1
Illinois,ARPA State and Local Fiscal Recovery Funds,Housing,Affordable Housing,Housing,Affordable Housing,Yes,COVID-19 Affordable Housing Grant Program,Creates new financing programs and tax incentives for affordable housing,Creates new financing programs and tax incentives to support the creation and preservation of affordable housing in communities across Illinois,"$75,000,000.00 ",1,NA,Illinois Housing Development Authority,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Chicago,Chicago General Obligation Bond,,,Housing,Affordable Housing,Yes,Development of mixed-use housing,"Creates mixed-use, multi-family housing developments","Creates mixed-use, multi-family housing developments in neighborhoods hardest-hit by Covid-19 through expanded investment and incentives programs","$75,100,000.00 ",1,NA,Chicago Department of Housing,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Digital equity planning,Development of an action plan on digital divide in suburban Cook County,"To coordinate long-term digital equity work, Cook County will develop an action plan to evaluate where suburban Cook’s digital divide exists and outline solutions to cover gaps in broadband access, physical connectivity infrastructure, and financial barriers residents face when accessing digital devices and connections.","$2,111,111.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,Chicago General Obligation Bond,,,Housing,Homeowner's Assistance,Yes,Direct homebuyers assistance program,Forgivable loans and grants for homebuyers,Provides forgivable loans and grants to homebuyers in neighborhoods most acutely affected by the COVID-19 pandemic to expand homeownership,"$5,000,000.00 ",1,,Chicago Department of Housing,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html,2/10/2022,12/31/2024,0
Illinois,ARPA,Community Investment,Community Development,Community Investment,Community Development,No,Economic Adjustment Assistance,Broad funding for statewide economic development planning,"This funding supports statewide planning efforts to boost economic development, combat the climate crisis, and recover from the pandemic","$1,000,000.00 ",1,NA,U.S. Department of Commerce,"<a href = ""https://www.usaspending.gov/award/ASST_NON_ED22CHI3070001_1325"">USASpending</a>",https://www.usaspending.gov/award/ASST_NON_ED22CHI3070001_1325,10/1/2021,3/31/2024,0
Illinois,ARPA,Community Investment,Community Development,Community Investment,Community Development,No,"Economic Adjustment Assistance Travel, Tourism, and Outdoor Recreation Program",Funding for state tourism efforts,"This funding supports marketing, infrastructure, workforce, and other project support to rejuvenate safe leisure, business, and international travel as part of the EDA's travel, tourism, and outdoor recreation program","$18,432,627.00 ",1,NA,U.S. Department of Commerce,"<a href = ""https://www.usaspending.gov/award/ASST_NON_067906356_1325"">USASpending</a>",https://www.usaspending.gov/award/ASST_NON_067906356_1325,11/8/2021,Available Until Expended,0
Chicago,CARES,Community Investment,Infrastructure,Community Investment,Infrastructure,No,Economic Development Assistance Grant,Wide-ranging financial assistance for Covid-19 recovery,"This investment will support Chicago in establishing the Kostner Avenue veritcal clearance improvement project to enhance industrial development potential for open space in North Lawndale, one of the city's most economically distressed neighborhoods","$4,750,000.00 ",1,NA,U.S. Department of Commerce,"<a href = ""https://www.usaspending.gov/award/ASST_NON_067906339_1325"">USASpending</a>",https://www.usaspending.gov/award/ASST_NON_067906339_1325,11/4/2021,Available Until Expended,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Infrastructure,Community Investment,Infrastructure,Yes,Electric vehicle charging stations,"Funding for electric vehicle charging stations, especially in areas with large service gaps","This initiative involves four components related to increasing access to electric vehicle charging stations throughout Cook County, focusing on where there are currently large gaps in service areas, primarily in the south and west suburbs, through installing 50 Level 2 charging stations, 10 DC fast chargers, 10 Level 2 streetlight charging stations and purchasing one allelectric bus and wireless charger installation to pilot at the Department of Corrections Campus.","$15,262,107.00 ",0,NA,Cook County Department of Transportation and Highways,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
