Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,Invest in Cook expansion,Cook County Department of Transportation and Highways,Expanding a grant program for transportation infrastructure projects,Invest in Cook is an existing grant program that annually awards $8.5 million to communities to advance local transportation infrastructure projects that implement the priorities of the County's long-range transportation plan and support economic outcomes,Transportation,15.26,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Electric vehicle charging stations,Cook County Department of Transportation and Highways,"Funding for electric vehicle charging stations, especially in areas with large service gaps","This initiative involves four components related to increasing access to electric vehicle charging stations throughout Cook County, focusing on where there are currently large gaps in service areas, primarily in the south and west suburbs, through installing 50 Level 2 charging stations, 10 DC fast chargers, 10 Level 2 streetlight charging stations and purchasing one allelectric bus and wireless charger installation to pilot at the Department of Corrections Campus.",Transportation,15.26,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Lead pipe removal at Vera Yates Homes and Richard Flowers Home,Department of Transportation and Highways,Removal of remaining lead water pipes at two Housing Authority of Cook County (HACC) affordable family housing properties,"This initiative will remove remaining lead water pipes at two Housing Authority of Cook County (HACC) affordable family housing properties: the Vera Yates Homes in Ford Heights and the Richard Flowers Homes in Robbins. This funding will allow HACC to remove all lead pipes at each of these properties, preventing children living at these sites from suffering irreparable, life-long neurological damage associated with lead exposure, and provide all residents of these developments a healthier, safer living environment.",Infrastructure,3.75,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,"Lead, leaking, and obsolete service line replacement pilot program",Cook County Bureau of Economic Development,"Management for lead, leaking, and obsolete service line replacements in high-risk communities","Cook County will work in partnership with municipal water utilities to oversee and manage lead, leaking, and obsolete service line replacement across Cook County. This program will target high-risk communities, including improvements to individual homes, and high-risk facilities, including preschools, daycare centers, home daycare providers, group daycare homes, parks, playgrounds, hospitals and clinics.",Infrastructure,3.75,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Rain Ready Plan implementation,Department of Transportation and Highways,Stormwater management programs in high flood-risk communities,"Cook County partnered with the Center for Neighborhood Technology to create a Rain Ready plan for the Calumet Corridor, which includes Blue Island, Calumet City, Calumet Park, Dolton, Riverdale, and Robbins and has a history of both disinvestment and flooding. The Department of Environment and Sustainability will put these six communities on a path towards greater resilience by implementing many of the recommended projects to improve stormwater management through green infrastructure and sustainable economic development.",Infrastructure,3.75,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Small Business Assistance Program & One Stop Shop,Cook County Bureau of Economic Development,"Advising services, webinars, and recovery grants for small businesses","The Small Business Assistance Program supports a coordinated network of over 30 partners that provide one-on-one business advising, webinars, and recovery grants. New funding will further build the capacity of partners to deliver services, increase availability of services in suburban Cook, and support the establishment of a Cook County “One-Stop Small Business Service Center.”",Small Business,12.35,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Small Business Grant Program,Cook County Bureau of Economic Development,Grants to small businesses with less than 20 employees and early-stage businesses impacted by Covid-19,"Grants to small businesses with less than 20 employees that continue to suffer from the impacts of COVID-19, as well as early-stage businesses formed since the onset of COVID-19. The grants will position businesses for growth and a sustainable path forward.",Small Business,12.35,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Stormwater management project implementation,Department of Transportation and Highways,Stormwater management programs in high flood-risk communities,Cook County will provide funding to the Metropolitan Water Reclamation District of Greater Chicago (MWRD) to support stormwater management in communities that experience significant flooding. This funding will allow MWRD to expand beyond funding to include overall responsibility for stormwater management project implementation since local capacity constraints currently limit the existing program's impact.,Infrastructure,3.75,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Chicago,CARES,Community Development Block Grant,U.S. Department of Housing and Urban Development,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.",Infrastructure,66.86,2020-09-25,2021-12-31,1,1,https://www.hud.gov/program_offices/comm_planning/budget/fy20,U.S. Department of Housing and Urban Development CARES Act Supplemental Funding
Cook County,CARES,Community Development Block Grant,U.S. Department of Housing and Urban Development,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.",Infrastructure,16.02,2020-09-25,2021-12-31,1,1,https://www.hud.gov/program_offices/comm_planning/budget/fy20,U.S. Department of Housing and Urban Development CARES Act Supplemental Funding
Illinois,CARES,Community Development Block Grant,U.S. Department of Housing and Urban Development,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.",Infrastructure,70.75,2020-09-25,2021-12-31,1,1,https://www.hud.gov/program_offices/comm_planning/budget/fy20,U.S. Department of Housing and Urban Development CARES Act Supplemental Funding
Illinois,CARES,Federal Transit Administration (FTA) Grants,U.S. Department of Transportation,Supplemental funds for existing Federal Transit Administration programs,These funds are supplemental appropriations to a number of existing (some lapsed) FTA programs,Transportation,57,2022-06-15,NA,0,1,https://www2.illinois.gov/sites/budget/Documents/LBOC/LBOC-Report-May-2022%20.pdf,State of Illinois Executive Office of the Governor Governor's Office of Management and Budget
Illinois,CARES,Grants in Aid for Airports,Federal Aviation Administration,Funds for airports for general Covid-19 response,"Funding distributed to airports to prevent, prepare for, and respond to the impacts of the Covid-19 pandemic",Transportation,447,2022-04-15,NA,0,1,https://www2.illinois.gov/sites/budget/Documents/LBOC/LBOC-Report-May-2022%20.pdf,State of Illinois Executive Office of the Governor Governor's Office of Management and Budget
Chicago,CRRSAA,Federal Transit Administration (FTA) Grants,U.S. Department of Transportation,Supplemental funds for existing Federal Transit Administration programs,These funds are supplemental appropriations to a number of existing (some lapsed) FTA programs,Transportation,470.79,2021-06-14,NA,0,1,https://www.transit.dot.gov/funding/apportionments/fiscal-year-2021-crrsaa-act-supplemental-public-transportation,U.S. Department of Transportation Fiscal Year 2021 CRRSAA Act Supplemental Allocations
Chicago,CRRSAA,Surface Transportation Block Grant Program (STBGP),U.S. Department of Transportation,Supplemental appropriations to existing highway infrastructure programs,Supplemental appropriations to existing highway infrastructure programs,Transportation,55.03,2021-01-15,2024-12-31,0,1,https://www.fhwa.dot.gov/legsregs/directives/notices/n4510851/,U.S. Department of Transportation Apportionment of Highway Infrastructure Program Funds
Illinois,CRRSAA,Federal Transit Administration (FTA) Grants,U.S. Department of Transportation,Supplemental funds for existing Federal Transit Administration programs,These funds are supplemental appropriations to a number of existing (some lapsed) FTA programs,Transportation,21,2022-06-15,2024-09-30,0,1,https://www2.illinois.gov/sites/budget/Documents/LBOC/LBOC-Report-May-2022%20.pdf,State of Illinois Executive Office of the Governor Governor's Office of Management and Budget
Illinois,CRRSAA,Grants in Aid for Airports,Federal Aviation Administration,Funds for airports for broad Covid-19 recovery,"These funds are for capital projects directly enabling work, education, and health monitoring, including remote options, in response to the Covid-19 pandemic.",Transportation,14,2022-06-15,NA,0,1,https://www2.illinois.gov/sites/budget/Documents/LBOC/LBOC-Report-May-2022%20.pdf,State of Illinois Executive Office of the Governor Governor's Office of Management and Budget
Illinois,CRRSAA,Surface Transportation Block Grant Program (STBGP),U.S. Department of Transportation,Supplemental appropriations to existing highway infrastructure programs,These funds are supplemental appropriations to existing highway infrastructure programs,Transportation,352.91,2021-01-15,2024-12-31,0,1,https://www.fhwa.dot.gov/legsregs/directives/notices/n4510851/,U.S. Department of Transportation Apportionment of Highway Infrastructure Program Funds
Chicago,CARES,Economic Development Assistance Grant,U.S. Department of Commerce,Wide-ranging financial assistance for Covid-19 recovery,"This investment will support Chicago in establishing the Kostner Avenue veritcal clearance improvement project to enhance industrial development potential for open space in North Lawndale, one of the city's most economically distressed neighborhoods",Infrastructure,4.75,2021-11-04,NA,0,1,https://www.usaspending.gov/award/ASST_NON_067906339_1325,USASpending
Chicago,ARPA,Head Start,U.S. Department of Health and Human Services,"Head Start promotes school readiness of infants, toddlers, and pre-school-aged children from low-income families","Head Start promotes school readiness of infants, toddlers, and pre-school-aged children from low-income families",Support,51.78,2021-07-14,2026-12-31,0,1,https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2021/july/HeadStartEarlyStartAwards.html,City of Chicago Office of Mayor Lori Lightfoot
Illinois,ARPA,Economic Adjustment Assistance,U.S. Department of Commerce,Broad funding for statewide economic development planning,"This funding supports statewide planning efforts to boost economic development, combat the climate crisis, and recover from the pandemic",Infrastructure,1,2021-10-01,2024-03-31,0,1,https://www.usaspending.gov/award/ASST_NON_ED22CHI3070001_1325,USASpending
Illinois,ARPA,"Economic Adjustment Assistance Travel, Tourism, and Outdoor Recreation Program",U.S. Department of Commerce,Funding for state tourism efforts,"This funding supports marketing, infrastructure, workforce, and other project support to rejuvenate safe leisure, business, and international travel as part of the EDA's travel, tourism, and outdoor recreation program",Infrastructure,18.43,2021-11-08,NA,0,1,https://www.usaspending.gov/award/ASST_NON_067906356_1325,USASpending
