Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,Gun Crimes Strategy Unit,Cook County State's Attorney's Office Gun Crimes Strategies Unit,Expanding the Gun Crimes Strategy Unit's outreach efforts,The Gun Crimes Strategies Unit (GCSU) embeds Assistant State's Attorneys in six of the most violent police districts in Chicago. Expansion of the Gun Crimes Strategies Unit will allow the Cook County State's Attorney's Office to expand the reach and efforts of the GCSU in order to help combat the rise in violence and shootings within the City and the South Suburbs.,Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Healing Hurt People Chicago,Cook County Health,"Funding for Healing Hurt People, a trauma-informed violence intervention program","Healing Hurt People (HHP) is a trauma-informed violence intervention program for survivors of urban intentional violence. HHP works to advance the notion that unaddressed psychological trauma is a key driver of the cycle of violence, fueled by the structural violence of racism and stigma. HHP Chicago's goals are to reduce re-injury, retaliation, and criminal justice involvement by having a positive impact on trauma recovery, mental health, and drug use, and help participants achieve independence, work, education, and create a strong future.",Safety Initiatives,5.13,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Programs and services for domestic violence victims and survivors,Cook County Offices Under the President,Grants for providers serving domestic violence survivors,"The Offices Under the President will administer grants to providers that serve survivors of domestic violence. Domestic violence advocates have requested this funding to support legal resources, mental health resources, and rapid housing resources for domestic violence victims and survivors.",Resources,4.08,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Public Defender Community Defense Center,Law Office of the Cook County Public Defender,Legal services for the Roseland/South Chicago and West Garfield Park/Humboldt Park communities,"Provides robust legal services to two Cook County communities that have been disproportionately affected by COVID-19, incarceration, and gun violence--greater Roseland/South Chicago and greater West Garfield Park/Humboldt Park. The Community Defense Center will work predominantly with African American and Latinx communities, providing legal services, community empowerment, advocacy and education.",Resources,4.08,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Cook County,ARPA State and Local Fiscal Recovery Funds,Re-entry housing resources,Cook County Justice Advisory Council,Funding for community-based organizations to provide rental and security deposit assistance,"The Justice Advisory Council will fund Cook County community-based organizations to provide rental assistance, security deposit assistance, and outreach counseling to justice-involved individuals. The initiative will also explore more effective housing strategies, partnerships and supports to connect these individuals to stable and permanent housing thus helping to reduce recidivism.",Resources,4.08,2022-02-10,2024-12-31,0,0,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,Cook County ARPA Recovery Plan
Illinois,ARPA State and Local Fiscal Recovery Funds,Child Advocacy Centers,Illinois Department of Children and Family Services,Support for child advocacy centers managed by the Department of Children and Family Services,Support for child advocacy centers managed by the Department of Children and Family Services,Youth,3,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
Illinois,ARPA State and Local Fiscal Recovery Funds,Grant to the Black and Gold Initiative,Illinois State Board of Education,"The Black and Gold Initiative provides mentoring, educational programming, and violence prevention programming for Black male high school students","The Black and Gold Initiative provides mentoring, educational programming, and violence prevention for black male high school students to attain educational excellence in the Champaign-Urbana area. The grant will support mentoring, education programing, and violence prevention.",Resources,75,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
Illinois,ARPA State and Local Fiscal Recovery Funds,Grants for violence prevention programs,Illinois Criminal Justice Information Authority,Violence prevention programs,These funds support violence prevention programs,Safety Initiatives,50,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
Illinois,ARPA State and Local Fiscal Recovery Funds,Other Violence Prevention Grants,Illinois Criminal Justice Information Authority,Violence prevention programs,These funds support violence prevention programs,Safety Initiatives,5.85,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
Illinois,ARPA State and Local Fiscal Recovery Funds,Summer Youth Employment,Illinois Department of Human Services,Youth workforce development programs,Progams that support youth in developing workplace skills and gaining employment experience,Youth,60,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
Illinois,ARPA State and Local Fiscal Recovery Funds,Teen Reach,Illinois Department of Human Services,After school programs for high-risk youth between ages 6 and 17,Teen REACH is a comprehensive development initiative providing afterschool program services to high-risk youth between the ages of 6 and 17,Youth,10,2021-06-21,2024-12-31,0,1,https://www2.illinois.gov/sites/budget/Documents/Budget Book/FY2022-Budget-Book/FY22_Enacted_ARPA_Summary_6.21.21.pdf,Illinois ARPA Fiscal Year 2022 Appropriations
